model,weights,forecast_date,num_last
COVIDhub-baseline,5.27005635906866e-05,2020-07-27,2
COVIDhub-ensemble,0.000238052425525159,2020-07-27,2
CU-select,0.000755640856389306,2020-07-27,2
LANL-GrowthRate,4.60503699009766e-05,2020-07-27,2
UMass-MechBayes,0.39894135190925,2020-07-27,2
UT-Mobility,0.533036371996588,2020-07-27,2
YYG-ParamSearch,0.0668453601800796,2020-07-27,2
epiforecasts-ensemble1,8.44716986765637e-05,2020-07-27,2
