model,weights,forecast_date,num_last
COVIDhub-baseline,0,2020-07-13,2
COVIDhub-ensemble,0,2020-07-13,2
CU-select,0.195968163654517,2020-07-13,2
epiforecasts-ensemble1,0,2020-07-13,2
LANL-GrowthRate,0,2020-07-13,2
UMass-MechBayes,0.172456464064592,2020-07-13,2
UT-Mobility,0.631575372280892,2020-07-13,2
YYG-ParamSearch,0,2020-07-13,2
