quantile,value,type,location,target,forecast_date,target_end_date
0.01,4414,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.025,4742,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.05,4973,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.1,5255,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.15,5473,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.2,5653,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.25,5808,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.3,5921,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.35,6084,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.4,6183,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.45,6320,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.5,6454,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
,6454,point,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.55,6573,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.6,6736,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.65,6868,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.7,7013,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.75,7197,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.8,7365,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.85,7577,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.9,7909,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.95,8419,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.975,8789,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.99,9625,quantile,US,1 wk ahead inc death,2020-07-27,2020-08-01
0.01,3831,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.025,4097,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.05,4324,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.1,4764,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.15,5048,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.2,5261,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.25,5493,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.3,5676,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.35,5847,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.4,6026,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.45,6194,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.5,6370,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
,6370,point,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.55,6548,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.6,6679,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.65,6843,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.7,7068,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.75,7259,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.8,7463,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.85,7813,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.9,8225,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.95,8751,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.975,9342,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.99,10024,quantile,US,2 wk ahead inc death,2020-07-27,2020-08-08
0.01,3144,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.025,3328,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.05,3653,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.1,4089,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.15,4385,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.2,4644,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.25,4908,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.3,5124,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.35,5288,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.4,5533,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.45,5782,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.5,6048,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
,6048,point,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.55,6286,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.6,6606,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.65,6892,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.7,7128,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.75,7458,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.8,7763,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.85,8290,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.9,8921,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.95,9574,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.975,10216,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.99,11056,quantile,US,3 wk ahead inc death,2020-07-27,2020-08-15
0.01,2201,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.025,2529,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.05,2857,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.1,3417,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.15,3744,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.2,4025,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.25,4228,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.3,4444,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.35,4745,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.4,5041,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.45,5225,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.5,5542,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
,5542,point,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.55,5852,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.6,6193,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.65,6582,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.7,7070,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.75,7540,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.8,7935,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.85,8534,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.9,9330,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.95,10197,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.975,11214,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.99,12010,quantile,US,4 wk ahead inc death,2020-07-27,2020-08-22
0.01,0,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.025,0,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.05,1,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.1,1,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.15,2,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.2,2,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.25,2,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.3,3,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.35,3,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.4,3,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.45,3,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.5,4,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
,4,point,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.55,4,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
0.6,4,quantile,02,1 wk ahead inc death,2020-07-27,2020-08-01
