quantile,value,type,location,target,forecast_date,target_end_date
0.01,4287,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.025,4435,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.05,4657,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.1,4953,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.15,5143,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.2,5321,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.25,5453,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.3,5573,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.35,5695,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.4,5810,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.45,5931,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.5,6036,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
,6036,point,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.55,6151,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.6,6253,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.65,6369,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.7,6496,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.75,6692,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.8,6852,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.85,7061,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.9,7312,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.95,7672,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.975,7970,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.99,8262,quantile,US,1 wk ahead inc death,2020-08-24,2020-08-29
0.01,3320,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.025,3547,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.05,3731,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.1,4050,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.15,4310,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.2,4471,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.25,4618,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.3,4755,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.35,4875,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.4,5001,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.45,5125,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.5,5243,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
,5243,point,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.55,5354,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.6,5481,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.65,5599,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.7,5732,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.75,5858,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.8,6067,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.85,6223,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.9,6529,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.95,6932,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.975,7285,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.99,7807,quantile,US,2 wk ahead inc death,2020-08-24,2020-09-05
0.01,2369,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.025,2617,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.05,2891,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.1,3201,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.15,3382,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.2,3586,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.25,3778,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.3,3923,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.35,4049,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.4,4185,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.45,4337,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.5,4468,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
,4468,point,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.55,4581,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.6,4692,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.65,4851,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.7,4992,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.75,5182,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.8,5418,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.85,5634,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.9,5983,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.95,6374,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.975,6820,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.99,7236,quantile,US,3 wk ahead inc death,2020-08-24,2020-09-12
0.01,1682,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.025,1927,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.05,2111,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.1,2358,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.15,2562,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.2,2771,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.25,2953,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.3,3124,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.35,3256,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.4,3409,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.45,3543,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.5,3706,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
,3706,point,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.55,3867,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.6,4020,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.65,4137,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.7,4310,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.75,4514,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.8,4687,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.85,4975,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.9,5272,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.95,5654,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.975,6075,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.99,6324,quantile,US,4 wk ahead inc death,2020-08-24,2020-09-19
0.01,0,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.025,0,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.05,1,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.1,1,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.15,1,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.2,2,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.25,2,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.3,2,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.35,2,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.4,3,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.45,3,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.5,3,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
,3,point,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.55,3,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.6,4,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.65,4,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.7,4,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.75,5,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.8,5,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.85,5,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.9,6,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.95,7,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.975,8,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.99,10,quantile,02,1 wk ahead inc death,2020-08-24,2020-08-29
0.01,0,quantile,02,2 wk ahead inc death,2020-08-24,2020-09-05
0.025,0,quantile,02,2 wk ahead inc death,2020-08-24,2020-09-05
0.05,0,quantile,02,2 wk ahead inc death,2020-08-24,2020-09-05
0.1,1,quantile,02,2 wk ahead inc death,2020-08-24,2020-09-05
0.15,1,quantile,02,2 wk ahead inc death,2020-08-24,2020-09-05
0.2,1,quantile,02,2 wk ahead inc death,2020-08-24,2020-09-05
0.25,2,quantile,02,2 wk ahead inc death,2020-08-24,2020-09-05
0.3,2,quantile,02,2 wk ahead inc death,2020-08-24,2020-09-05
0.35,2,quantile,02,2 wk ahead inc death,2020-08-24,2020-09-05
0.4,2,quantile,02,2 wk ahead inc death,2020-08-24,2020-09-05
