quantile,value,type,location,target,forecast_date,target_end_date
0.01,3794,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.025,4103,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.05,4310,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.1,4561,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.15,4759,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.2,4919,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.25,5057,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.3,5208,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.35,5345,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.4,5470,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.45,5613,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.5,5734,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
,5734,point,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.55,5879,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.6,5996,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.65,6123,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.7,6283,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.75,6442,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.8,6670,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.85,6896,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.9,7226,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.95,7648,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.975,8135,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.99,8473,quantile,US,1 wk ahead inc death,2020-07-13,2020-07-18
0.01,3534,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.025,3935,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.05,4277,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.1,4702,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.15,5014,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.2,5287,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.25,5578,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.3,5750,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.35,5976,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.4,6195,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.45,6392,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.5,6648,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
,6648,point,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.55,6880,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.6,7079,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.65,7360,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.7,7604,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.75,7929,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.8,8222,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.85,8622,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.9,9253,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.95,10044,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.975,10692,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.99,11379,quantile,US,2 wk ahead inc death,2020-07-13,2020-07-25
0.01,3277,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.025,3627,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.05,4152,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.1,4697,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.15,5195,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.2,5517,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.25,5858,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.3,6318,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.35,6687,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.4,6959,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.45,7362,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.5,7834,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
,7834,point,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.55,8146,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.6,8533,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.65,8899,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.7,9340,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.75,9849,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.8,10685,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.85,11311,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.9,12217,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.95,13722,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.975,14852,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.99,16232,quantile,US,3 wk ahead inc death,2020-07-13,2020-08-01
0.01,2600,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.025,3196,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.05,3805,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.1,4593,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.15,5102,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.2,5628,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.25,5976,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.3,6618,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.35,7191,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.4,7783,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.45,8295,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.5,8876,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
,8876,point,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.55,9463,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.6,10284,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.65,11066,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.7,11958,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.75,12728,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.8,13781,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.85,15011,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.9,16648,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.95,19210,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.975,21706,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.99,23422,quantile,US,4 wk ahead inc death,2020-07-13,2020-08-08
0.01,0,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.025,0,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.05,0,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.1,1,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.15,1,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.2,1,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.25,2,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.3,2,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.35,2,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.4,2,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.45,3,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.5,3,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
,3,point,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.55,3,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.6,3,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.65,4,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.7,4,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.75,5,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.8,5,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.85,6,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.9,6,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.95,8,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.975,9,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.99,10,quantile,02,1 wk ahead inc death,2020-07-13,2020-07-18
0.01,0,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.025,0,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.05,1,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.1,1,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.15,2,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.2,2,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.25,3,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.3,3,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.35,3,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.4,4,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.45,4,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.5,4,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
,4,point,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.55,5,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.6,5,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.65,6,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.7,6,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.75,7,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.8,7,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.85,8,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.9,9,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.95,12,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.975,14,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.99,18,quantile,02,2 wk ahead inc death,2020-07-13,2020-07-25
0.01,0,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.025,1,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.05,1,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.1,2,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.15,2,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.2,3,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.25,4,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.3,4,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.35,5,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.4,5,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.45,6,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.5,6,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
,6,point,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.55,7,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.6,8,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.65,9,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.7,10,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.75,11,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.8,13,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.85,15,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.9,17,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.95,22,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.975,26,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.99,31,quantile,02,3 wk ahead inc death,2020-07-13,2020-08-01
0.01,0,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.025,0,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.05,1,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.1,2,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.15,3,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.2,4,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.25,4,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.3,5,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.35,6,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.4,7,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.45,8,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.5,9,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
,9,point,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.55,11,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.6,12,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.65,14,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.7,16,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.75,18,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.8,21,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.85,24,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.9,29,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.95,37,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.975,45,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.99,57,quantile,02,4 wk ahead inc death,2020-07-13,2020-08-08
0.01,49,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.025,59,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.05,68,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.1,79,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.15,87,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.2,93,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.25,98,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.3,105,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.35,111,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.4,117,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.45,125,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.5,133,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
,133,point,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.55,138,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.6,145,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.65,153,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.7,160,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.75,168,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.8,179,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.85,193,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.9,211,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.95,244,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.975,277,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.99,311,quantile,01,1 wk ahead inc death,2020-07-13,2020-07-18
0.01,44,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.025,56,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.05,69,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.1,81,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.15,93,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.2,103,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.25,111,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.3,122,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.35,128,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.4,137,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.45,146,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.5,155,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
,155,point,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.55,167,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.6,178,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.65,187,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.7,199,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.75,214,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.8,232,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.85,250,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.9,278,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.95,334,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.975,392,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.99,452,quantile,01,2 wk ahead inc death,2020-07-13,2020-07-25
0.01,42,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.025,52,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.05,64,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.1,83,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.15,95,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.2,109,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.25,121,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.3,132,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.35,147,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.4,159,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.45,172,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.5,185,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
,185,point,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.55,202,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.6,220,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.65,238,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.7,262,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.75,288,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.8,312,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.85,357,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.9,414,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.95,509,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
0.975,604,quantile,01,3 wk ahead inc death,2020-07-13,2020-08-01
