quantile,value,type,location,target,forecast_date,target_end_date
0.01,4653,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.025,4917,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.05,5227,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.1,5550,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.15,5798,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.2,5968,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.25,6175,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.3,6332,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.35,6492,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.4,6641,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.45,6747,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.5,6837,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
,6837,point,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.55,6992,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.6,7126,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.65,7247,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.7,7418,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.75,7623,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.8,7794,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.85,7993,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.9,8254,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.95,8697,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.975,9004,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.99,9629,quantile,US,1 wk ahead inc death,2020-08-10,2020-08-15
0.01,3737,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.025,4052,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.05,4343,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.1,4691,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.15,4966,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.2,5156,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.25,5332,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.3,5456,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.35,5641,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.4,5801,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.45,5946,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.5,6080,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
,6080,point,US,2 wk ahead inc death,2020-08-10,2020-08-22
0.55,6251,quantile,US,2 wk ahead inc death,2020-08-10,2020-08-22
