quantile,value,type,location,target,forecast_date,target_end_date
0.01,4208,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.025,4389,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.05,4689,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.1,4983,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.15,5119,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.2,5308,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.25,5445,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.3,5577,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.35,5682,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.4,5785,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.45,5948,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.5,6086,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
,6086,point,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.55,6227,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.6,6359,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.65,6499,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.7,6672,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.75,6850,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.8,7021,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.85,7212,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.9,7488,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.95,7853,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.975,8318,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.99,9081,quantile,US,1 wk ahead inc death,2020-07-20,2020-07-25
0.01,3708,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.025,4096,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.05,4389,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.1,4826,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.15,5079,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.2,5361,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.25,5560,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.3,5774,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.35,6005,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.4,6214,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.45,6403,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.5,6564,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
,6564,point,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.55,6719,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.6,6865,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.65,7055,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.7,7279,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.75,7498,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.8,7738,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.85,8083,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.9,8529,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.95,9278,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.975,9870,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.99,10561,quantile,US,2 wk ahead inc death,2020-07-20,2020-08-01
0.01,2872,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.025,3323,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.05,3785,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.1,4403,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.15,4782,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.2,5180,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.25,5479,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.3,5768,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.35,6080,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.4,6414,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.45,6696,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.5,6913,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
,6913,point,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.55,7203,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.6,7525,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.65,7851,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.7,8243,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.75,8683,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.8,9146,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.85,9621,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.9,10267,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.95,11012,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.975,11895,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.99,12648,quantile,US,3 wk ahead inc death,2020-07-20,2020-08-08
0.01,2273,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.025,2629,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.05,3181,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.1,3883,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.15,4346,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.2,4767,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.25,5189,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.3,5583,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.35,6056,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.4,6355,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.45,6846,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.5,7216,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
,7216,point,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.55,7606,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.6,8121,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.65,8599,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.7,9189,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.75,9802,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.8,10393,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.85,11014,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.9,12189,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.95,13696,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.975,14854,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.99,16180,quantile,US,4 wk ahead inc death,2020-07-20,2020-08-15
0.01,0,quantile,02,1 wk ahead inc death,2020-07-20,2020-07-25
0.025,0,quantile,02,1 wk ahead inc death,2020-07-20,2020-07-25
0.05,0,quantile,02,1 wk ahead inc death,2020-07-20,2020-07-25
0.1,1,quantile,02,1 wk ahead inc death,2020-07-20,2020-07-25
0.15,1,quantile,02,1 wk ahead inc death,2020-07-20,2020-07-25
0.2,1,quantile,02,1 wk ahead inc death,2020-07-20,2020-07-25
0.25,2,quantile,02,1 wk ahead inc death,2020-07-20,2020-07-25
0.3,2,quantile,02,1 wk ahead inc death,2020-07-20,2020-07-25
