model,weights,forecast_date,num_last
COVIDhub-baseline,5.87874760271364e-06,2020-07-13,2
COVIDhub-ensemble,1.26727109981461e-05,2020-07-13,2
CU-select,0.125575791875155,2020-07-13,2
LANL-GrowthRate,6.59755093093814e-06,2020-07-13,2
UMass-MechBayes,0.146206052981584,2020-07-13,2
UT-Mobility,0.728173159148958,2020-07-13,2
YYG-ParamSearch,1.5269190543233e-05,2020-07-13,2
epiforecasts-ensemble1,4.57779422729991e-06,2020-07-13,2
